text,sponsors
"118 HCON 1 EH: Regarding consent to assemble outside the seat of government. 
 U.S. House of Representatives 
 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV 
 118th CONGRESS 
 1st Session 
 H. CON. RES. 1 
 IN THE HOUSE OF REPRESENTATIVES 
 CONCURRENT RESOLUTION 
 Regarding consent to assemble outside the seat of government. 
 
 
 That pursuant to clause 4, section 5, article I of the Constitution, during the One Hundred Eighteenth Congress the Speaker of the House and the Majority Leader of the Senate or their respective designees, acting jointly after consultation with the Minority Leader of the House and the Minority Leader of the Senate, may notify the Members of the House and the Senate, respectively, to assemble at a place outside the District of Columbia if, in their opinion, the public interest shall warrant it.     Passed the House of Representatives January 9, 2023. Cheryl L. Johnson, Clerk.","[{'bioguideId': 'C001053', 'firstName': 'Tom', 'fullName': 'Rep. Cole, Tom [R-OK-4]', 'isByRequest': 'N', 'lastName': 'Cole', 'middleName': None, 'party': 'R', 'state': 'OK'}]"
"118 HCON 10 IH: Expressing the sense of Congress that the United States should resume normal diplomatic relations with Taiwan, negotiate a bilateral free trade agreement with Taiwan, and support Taiwan’s membership in international organizations. 
 U.S. House of Representatives 
 2023-01-25 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV 118th CONGRESS 1st Session H. CON. RES. 10 IN THE HOUSE OF REPRESENTATIVES January 25, 2023 Mr. Tiffany  (for himself,  Mr. Perry ,  Mr. Donalds ,  Mrs. Steel ,  Mr. Norman ,  Mr. Ogles ,  Mr. LaMalfa ,  Mr. Owens ,  Mr. Good of Virginia ,  Mr. Weber of Texas ,  Mr. LaTurner ,  Ms. Malliotakis ,  Mr. DesJarlais ,  Mr. Gooden of Texas ,  Mr. Carter of Georgia ,  Ms. Mace ,  Mrs. McClain ,  Mr. Crenshaw , and  Mr. McClintock ) submitted the following concurrent resolution; which was referred to the  Committee on Foreign Affairs , and in addition to the Committee on  Ways and Means , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned CONCURRENT RESOLUTION Expressing the sense of Congress that the United States should resume normal diplomatic relations with Taiwan, negotiate a bilateral free trade agreement with Taiwan, and support Taiwan’s membership in international organizations. 
 Whereas the people of Taiwan have established a free, open, pluralistic, and democratic society;   Whereas the people of Taiwan have conducted 7 democratic Presidential elections yielding 3 peaceful transfers of power, successive parliamentary elections, multiple nationwide referenda, and numerous local elections; 
 Whereas Taiwan and its outlying islands have never been under the jurisdiction or control of the Communist regime in Beijing, which continues to illegitimately claim sovereignty over Taiwan and its people;   Whereas Communist China has weaponized the so-called  One China Policy  to block Taiwan’s membership and full participation in international organizations and events ranging from the United Nations and the World Health Organization to the Olympic Games; 
 Whereas the so-called  One China Policy  is obsolete, does not serve the people of Taiwan or the United States, and fails to reflect the obvious reality that Taiwan has been a sovereign and independent country for over 70 years;   Whereas Taiwan maintains diplomatic, cultural, and economic links with several countries around the world, demonstrating its clear and indisputable independence from the People’s Republic of China; 
 Whereas Taiwan and the United States maintained normal diplomatic relations and a Mutual Defense Treaty until President Carter abruptly abandoned both without the approval of Congress in 1979;   Whereas Congress responded by adopting the landmark, bipartisan Taiwan Relations Act, codifying in law the basis for continued friendly relations between the people of the United States and Taiwan; 
 Whereas former President Reagan strengthened ties with Taiwan by issuing the  Six Assurances , noting that  The United States has not altered its position regarding sovereignty over Taiwan , underscoring that Communist Chinese claims of sovereignty over Taiwan have never been accepted by the United States;   Whereas former President Clinton declared  that the issues between Beijing and Taiwan must be resolved peacefully and with the assent of the people of Taiwan ; 
 Whereas President Trump approved the sale of defense articles to Taiwan and signed bipartisan legislation allowing for expanded high-level exchanges and cooperation between Taiwanese and American officials; and   Whereas Taiwan remains a steadfast ally of the United States and a responsible and conscientious member of the international community: Now, therefore, be it 
 That—   (1) the United States commends the people of Taiwan for their commitment to democracy, civil liberties, and human rights; and 
 (2) it is the sense of Congress that—   (A) the President should abandon the antiquated  One China Policy  in favor of a policy that recognizes the objective reality that Taiwan is an independent country not governed by or included within the territory of the People’s Republic of China; 
 (B) the President should recognize the legitimacy of the democratically elected National Government in Taipei, normalize diplomatic relations between our two nations, appoint a United States ambassador to Taiwan, and receive a Taiwanese ambassador to the United States;   (C) the President should rescind arbitrary agency guidelines that restrict normal communication and interaction between United States and Taiwanese officials; 
 (D) the United States Trade Representative should initiate formal negotiations with Taiwan on the establishment of a United States-Taiwan Free Trade Agreement; and   (E) the President, the Permanent Representative of the United States to the United Nations, and other relevant United States officials should take steps to advocate for Taiwan’s full membership in the United Nations and other international organizations in which the United States is a member.","[{'bioguideId': 'T000165', 'firstName': 'Thomas', 'fullName': 'Rep. Tiffany, Thomas P. [R-WI-7]', 'isByRequest': 'N', 'lastName': 'Tiffany', 'middleName': 'P.', 'party': 'R', 'state': 'WI'}]"
"118 HCON 11 : Providing for a joint session of Congress to receive a message from the President. 
 U.S. House of Representatives 
 2023-02-01 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 III 118th CONGRESS 1st Session H. CON. RES. 11 IN THE SENATE OF THE UNITED STATES February 1, 2023 Received CONCURRENT RESOLUTION Providing for a joint session of Congress to receive a message from the President. That the two Houses of Congress assemble in the Hall of the House of Representatives on Tuesday, February 7, 2023, at 9 p.m., for the purpose of receiving  such communication as the President of the United States shall be pleased to make to them. Passed the House of Representatives January 31, 2023. Cheryl L. Johnson, Clerk.","[{'bioguideId': 'S001176', 'firstName': 'Steve', 'fullName': 'Rep. Scalise, Steve [R-LA-1]', 'isByRequest': 'N', 'lastName': 'Scalise', 'middleName': None, 'party': 'R', 'state': 'LA'}]"
"118 HCON 12 IH: Expressing the sense of Congress that all direct and indirect subsidies that benefit the production or export of sugar by all major sugar-producing and -consuming countries should be eliminated. 
 U.S. House of Representatives 
 2023-02-01 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV 118th CONGRESS 1st Session H. CON. RES. 12 IN THE HOUSE OF REPRESENTATIVES February 1, 2023 Mrs. Cammack  (for herself,  Mr. Kildee ,  Ms. Letlow ,  Mr. C. Scott Franklin of Florida , and  Mr. Higgins of Louisiana ) submitted the following concurrent resolution; which was referred to the  Committee on Ways and Means , and in addition to the Committee on  Agriculture , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned CONCURRENT RESOLUTION Expressing the sense of Congress that all direct and indirect subsidies that benefit the production or export of sugar by all major sugar-producing and -consuming countries should be eliminated. 
 Whereas most major sugar-producing and sugar-consuming countries in the world maintain some form of direct or indirect subsidy to support its sugar growers, processors, or consumers;   Whereas virtually all of the more than 100 countries that produce sugar maintain market-distorting subsidy programs, including— 
 (1) the Government of Brazil which provides direct and indirect subsidies of at least $2,500,000,000 per year for programs to promote its sugar industry and has increased subsidies in recent years, including preferential loans and debt forgiveness;   (2) the Government of India which provided nearly $14,000,000,000 per year in subsidy supports as recently as 2018 to prop up its inefficient sugar industry, including the provision of export subsidies in 2014, 2015, 2018, 2019, and 2020 in potential violation of World Trade Organization obligations; 
 (3) the Government of Thailand which more than tripled its sugar exports after 2004 by providing at least $1,300,000,000 in annual subsidies and government programs to its sugar industry and by maintaining domestic prices well above export prices;   (4) the Governments of the European Union member states which have provided support with an estimated value of $685,000,000 per year to their sugar farmers; 
 (5) the Government of Russia which transformed its country from one of the world’s largest net importers of sugar to a net exporter on the basis of government support estimated at an estimated value of $392,000,000 per year from 2010 to 2017; and    (6) the Government of Mexico which has generously supported its sugarcane growers, and was found guilty in 2014 of injuring United States sugar producers by dumping subsidized sugar into the United States market; 
 Whereas the world sugar market is the most volatile commodity market in the world;   Whereas many countries routinely dump surplus sugar on the world sugar market, at prices below domestic price levels and costs of production; 
 Whereas the foregoing clauses provide ample evidence there is no undistorted, free market in sugar in the world today; and   Whereas, if such a free market did exist, United States sugar farmers and processors could compete effectively in that market: Now, therefore, be it 
 That it is the sense of Congress that—   (1) the President should seek elimination of all direct and indirect subsidies benefiting the production or export of sugar by the government of— 
 (A) each country that exported more than 200,000 metric tons of sugar in 2018, 2019, or 2020; and   (B) by any other country with which the United States has in effect a free trade agreement; 
 (2) if the President determines that all such subsidies by all such countries have been eliminated, the President should submit a report to Congress providing detailed information about how each of the countries has eliminated such subsidies; and   (3) after submitting such a report, the President should propose to Congress legislation to implement United States sugar policy reforms.","[{'bioguideId': 'C001039', 'firstName': 'Kat', 'fullName': 'Rep. Cammack, Kat [R-FL-3]', 'isByRequest': 'N', 'lastName': 'Cammack', 'middleName': None, 'party': 'R', 'state': 'FL'}]"
"118 HCON 13 IH: Supporting the Local Radio Freedom Act. 
 U.S. House of Representatives 
 2023-02-06 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV 
 118th CONGRESS 
 1st Session 
 H. CON. RES. 13 
 IN THE HOUSE OF REPRESENTATIVES 
 
 February 6, 2023 
 Mr. Womack  (for himself,  Ms. Castor of Florida ,  Mr. Amodei ,  Mr. Arrington ,  Mr. Bacon ,  Mr. Balderson ,  Mr. Barr ,  Mrs. Beatty ,  Mr. Bilirakis ,  Mr. Bost ,  Mr. Boyle of Pennsylvania ,  Mr. Buchanan ,  Mr. Bucshon ,  Ms. Budzinski ,  Mr. Calvert ,  Mr. Carey ,  Mr. Carl ,  Mr. Carson ,  Mr. Carter of Texas ,  Mr. Clyde ,  Mr. Cole ,  Mr. Comer ,  Mr. Costa ,  Mr. Courtney ,  Mr. Crawford ,  Mr. Cuellar ,  Ms. Davids of Kansas ,  Mr. Davidson ,  Ms. De La Cruz ,  Mrs. Dingell ,  Mr. Donalds ,  Mr. Duncan ,  Mr. Ellzey ,  Mr. Emmer ,  Mr. Evans ,  Mr. Ezell ,  Mr. Fallon ,  Mr. Feenstra ,  Mr. Finstad ,  Mr. Fitzpatrick ,  Mr. Flood ,  Ms. Foxx ,  Mr. C. Scott Franklin of Florida ,  Mr. Fry ,  Mr. Gallagher ,  Mr. Mike Garcia of California ,  Mr. Golden of Maine ,  Mr. Vicente Gonzalez of Texas ,  Ms. Granger ,  Mr. Graves of Missouri ,  Ms. Greene of Georgia ,  Mr. Grothman ,  Mr. Guest ,  Ms. Hageman ,  Mr. Hill ,  Ms. Houlahan ,  Mr. Hudson ,  Mr. Huizenga ,  Mr. Hunt ,  Mr. Johnson of Ohio ,  Mr. Johnson of Louisiana ,  Mr. Joyce of Pennsylvania ,  Ms. Kaptur ,  Mr. Kean of New Jersey ,  Mr. Keating ,  Mr. Kelly of Pennsylvania ,  Mr. Kelly of Mississippi ,  Mr. Kilmer ,  Mr. Kim of New Jersey ,  Ms. Kuster ,  Mr. LaHood ,  Mr. LaMalfa ,  Mr. Larson of Connecticut ,  Mr. Latta ,  Mr. LaTurner ,  Ms. Letlow ,  Mr. Lynch ,  Ms. Mace ,  Mr. McHenry ,  Mr. Meuser ,  Mr. Moolenaar ,  Mr. Moulton ,  Mr. Mrvan ,  Mr. Murphy ,  Mr. Nehls ,  Mr. Newhouse ,  Mr. Norman ,  Mr. Pence ,  Mr. Pfluger ,  Mr. Phillips ,  Mr. Posey ,  Mrs. Radewagen ,  Mr. Rogers of Kentucky ,  Mr. Rosendale ,  Mr. Sablan ,  Mr. Schneider ,  Mr. David Scott of Georgia ,  Mr. Sessions ,  Ms. Sewell ,  Ms. Sherrill ,  Mr. Simpson ,  Mr. Smith of Nebraska ,  Ms. Stansbury ,  Mr. Stauber ,  Ms. Tenney ,  Mr. Tiffany ,  Mr. Timmons ,  Mr. Valadao ,  Ms. Van Duyne ,  Mr. Veasey ,  Mrs. Wagner ,  Mr. Walberg ,  Mr. Weber of Texas ,  Mr. Wenstrup ,  Mr. Westerman ,  Mr. Wittman ,  Mr. Zinke ,  Mr. Smith of New Jersey , and  Mr. Jackson of Texas ) submitted the following concurrent resolution; which was referred to the  Committee on the Judiciary 
 
 CONCURRENT RESOLUTION 
 Supporting the Local Radio Freedom Act. 
 
 
 Whereas the United States enjoys broadcasting and sound recording industries that are the envy of the world, due to the symbiotic relationship that has existed among these industries for many decades;     Whereas, for nearly a century, Congress has rejected repeated calls by the recording industry to impose a performance fee on local radio stations for simply playing music on the radio and upsetting the mutually beneficial relationship between local radio and the recording industry;   
 Whereas local radio stations provide free publicity and promotion to the recording industry and performers of music in the form of radio air play, interviews with performers, introduction of new performers, concert promotions, and publicity that promotes the sale of music, concert tickets, ring tones, music videos and associated merchandise;     Whereas Congress found that  the sale of many sound recordings and the careers of many performers benefited considerably from airplay and other promotional activities provided by both noncommercial and advertiser-supported, free over-the-air broadcasting ;   
 Whereas local radio broadcasters provide tens of thousands of hours of essential local news and weather information during times of national emergencies and natural disasters, as well as public affairs programming, sports, and hundreds of millions of dollars of time for public service announcements and local fundraising efforts for worthy charitable causes, all of which are jeopardized if local radio stations are forced to divert revenues to pay for a new performance fee;     Whereas there are many thousands of local radio stations that will suffer severe economic hardship if any new performance fee is imposed, as will many other small businesses that play music including bars, restaurants, retail establishments, sports and other entertainment venues, shopping centers and transportation facilities; and   
 Whereas the hardship that would result from a new performance fee would hurt American businesses, and ultimately the American consumers who rely on local radio for news, weather, and entertainment; and such a performance fee is not justified when the current system has produced the most prolific and innovative broadcasting, music, and sound recording industries in the world: Now, therefore, be it       That Congress should not impose any new performance fee, tax, royalty, or other charge relating to the public performance of sound recordings on a local radio station for broadcasting sound recordings over the air, or on any business for such public performance of sound recordings.","[{'bioguideId': 'W000809', 'firstName': 'Steve', 'fullName': 'Rep. Womack, Steve [R-AR-3]', 'isByRequest': 'N', 'lastName': 'Womack', 'middleName': None, 'party': 'R', 'state': 'AR'}]"
"118 HCON 14 IH: Expressing disapproval of the revocation by President Biden of the Presidential permit for the Keystone XL pipeline. 
 U.S. House of Representatives 
 2023-02-07 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV 
 118th CONGRESS 
 1st Session 
 H. CON. RES. 14 
 IN THE HOUSE OF REPRESENTATIVES 
 
 February 7, 2023 
 Mrs. Lesko  (for herself and  Mr. Balderson ) submitted the following concurrent resolution; which was referred to the  Committee on Transportation and Infrastructure , and in addition to the Committees on  Energy and Commerce , and  Natural Resources , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned 
 
 CONCURRENT RESOLUTION 
 Expressing disapproval of the revocation by President Biden of the Presidential permit for the Keystone XL pipeline. 
 
 
 Whereas, on March 29, 2019, TransCanada Keystone Pipeline, L.P., was granted a Presidential permit to construct, connect, operate, and maintain the Keystone XL pipeline; and   Whereas, on January 20, 2021, President Biden issued Executive Order 13990 (86 Fed. Reg. 7037) that revoked the March 2019 Presidential permit for the Keystone XL pipeline: Now, therefore, be it 
 
 That Congress disapproves of the revocation by President Biden of the Presidential permit for the Keystone XL pipeline.","[{'bioguideId': 'L000589', 'firstName': 'Debbie', 'fullName': 'Rep. Lesko, Debbie [R-AZ-8]', 'isByRequest': 'N', 'lastName': 'Lesko', 'middleName': None, 'party': 'R', 'state': 'AZ'}]"
"118 HCON 15 : Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition. 
 U.S. House of Representatives 
 2023-03-28 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 III 118th CONGRESS 1st Session H. CON. RES. 15 IN THE SENATE OF THE UNITED STATES March 28, 2023 Received CONCURRENT RESOLUTION Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition. 1. Use of the Capitol Grounds for National Peace Officers Memorial Service (a) In general The Grand Lodge of the Fraternal Order of Police and its auxiliary shall be permitted to sponsor a public event, the 42d Annual National Peace  Officers Memorial Service (in this resolution referred to as the  Memorial Service ), on the Capitol Grounds, in order to honor the law enforcement officers who died in the line of duty during 2022. (b) Date of Memorial Service The Memorial Service shall be held on May 15, 2023, or on such other date as the Speaker of the House of Representatives and the Committee on Rules and Administration of the Senate jointly designate, with preparation for the event to begin on May 10, 2023, and takedown completed on May 16, 2023. 2. Use of the Capitol Grounds for National Honor Guard and Pipe Band Exhibition (a) In general The Grand Lodge of the Fraternal Order of Police and its auxiliary shall be permitted to sponsor a public event, the National Honor Guard and Pipe Band Exhibition (in this resolution referred to as the  Exhibition ), on the Capitol Grounds, in order to allow law enforcement representatives to exhibit their ability to demonstrate Honor Guard programs and provide for a bagpipe exhibition. (b) Date of Exhibition The Exhibition shall be held on May 14, 2023, or on such other date as the Speaker of the House of Representatives and the Committee on Rules and Administration of the Senate jointly designate. 3. Terms and conditions (a) In general Under conditions to be prescribed by the Architect of the Capitol and the Capitol Police Board, the event shall be— (1) free of admission charge and open to the public; and (2) arranged not to interfere with the needs of Congress. (b) Expenses and liabilities The sponsors of the Memorial Service and Exhibition shall assume full responsibility for all expenses and liabilities incident to all activities associated with the events. 4. Event preparations Subject to the approval of the Architect of the Capitol, the sponsors referred to in section 3(b) are authorized to erect upon the Capitol Grounds such stage, sound amplification devices, and other related structures and equipment, as may be required for the Memorial Service and Exhibition. 5. Enforcement of restrictions The Capitol Police Board shall provide for enforcement of the restrictions contained in section 5104(c) of title 40, United States Code, concerning sales, advertisements, displays, and solicitations on the Capitol Grounds, as well as other restrictions applicable to the Capitol Grounds, in connection with the events. Passed the House of Representatives March 27, 2023. Cheryl L. Johnson, Clerk.","[{'bioguideId': 'P000605', 'firstName': 'Scott', 'fullName': 'Rep. Perry, Scott [R-PA-10]', 'isByRequest': 'N', 'lastName': 'Perry', 'middleName': None, 'party': 'R', 'state': 'PA'}]"
"106 HCON 16 IH: Recognizing the victims of the Port Chicago explosion of July 17, 1944, the 79th anniversary of the greatest homeland loss of life of World War II, and exonerating the 50 African-American sailors unjustly court-martialed by the Navy. 
 U.S. House of Representatives 
 2023-02-17 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV 118th CONGRESS 1st Session H. CON. RES. 16 IN THE HOUSE OF REPRESENTATIVES February 17, 2023 Mr. DeSaulnier  (for himself,  Ms. Lee of California , and  Mr. Garamendi ) submitted the following concurrent resolution; which was referred to the  Committee on Armed Services CONCURRENT RESOLUTION Recognizing the victims of the Port Chicago explosion of July 17, 1944, the 79th anniversary of the greatest homeland loss of life of World War II, and exonerating the 50 African-American sailors unjustly court-martialed by the Navy. Whereas the Port Chicago Naval Magazine in Contra Costa County, California, was a vital supply facility for the Navy during World War II, shipping ordinance for use in the Pacific Theater; Whereas, under the rules governing the Navy at the time, the Port Chicago Naval Magazine was operated as a segregated facility in which undertrained and poorly equipped African-American sailors, under the supervision of White officers, exclusively conducted the hazardous task of loading munitions aboard ships; Whereas there had been numerous complaints and warnings about the unsafe nature of the loading operations, including the conduct of contests by White officers to achieve the most rapid loading of ships despite the inherent dangers involved in such actions; Whereas, on the night of July 17, 1944, the Port Chicago Naval Magazine and much of the town of Port Chicago were destroyed by a cataclysmic explosion that killed 320 men, 202 of whom were African-American enlisted men; Whereas these losses on a single night represented one-fifth of all African-American naval casualties during World War II; Whereas, following the catastrophe, none of the African-American survivors was provided survivor leave or other recuperative services provided to the White personnel, including the officers; Whereas African-American survivors of the explosion were ordered back to the Port Chicago site to conduct cleanup operations; Whereas, on August 9, 1944, with no cause having been determined for the explosion and no additional training having been provided to the African-American loaders, 328 men from three divisions were ordered to the loading pier at the nearby Mare Island, which served as the Port Chicago replacement facility; Whereas many of the men expressed concern about the inadequacy of safety procedures and training, leading to 258 being arrested and confined for three days on a large barge tiered to the pier; Whereas the confined sailors were threatened with prosecution and potential execution, leading 208 to return to work; Whereas the 50 who refused to return to loading operations were subjected to the largest mass mutiny trial in naval history, which resulted, on October 24, 1944, in a conviction on the charge of mutiny and a sentence of up to 15 years imprisonment and dishonorable discharge from the Navy; Whereas, after appeals and widespread protests in January 1946, which included the participation of future Supreme Court Justice Thurgood Marshall and former First Lady Eleanor Roosevelt, the Port Chicago men were released from prison but their convictions remained on their records; Whereas, in a 1994 investigation, the United States Navy stated that  there is no doubt that racial prejudice was responsible for the posting of only African-American enlisted personnel to loading divisions at Port Chicago ; Whereas the unfairness of the Port Chicago mutiny prosecution would ultimately serve as one of the catalysts for the 1948 Executive order requiring desegregation of the Armed Services; Whereas the Committee on Natural Resources of the House of Representatives conducted hearings on the Port Chicago case in 1993 and, in 1994, Congress, on a bipartisan basis, passed legislation creating the Port Chicago National Memorial as a feature of the National Park Service, including plaques commemorating those who lost their lives at the site in 1944; Whereas, in 1999, a pardon was granted to one of the few surviving members of the Port Chicago 50, Freddie Meeks, by President William Clinton following a thorough review of the case; Whereas, since 1999, substantial legal, academic, and journalistic inquiry has documented the inherent racial motivation behind the operations at Port Chicago and the prosecution of the Port Chicago 50; Whereas, on December 16, 2015, the Secretary of the Navy, the Honorable Ray Mabus, wrote to the President  strongly support[ing] executive action in favor of the 49 remaining Sailors with general court-martial convictions or the 207 with summary court-martial convictions … in light of the well documented challenges associated with uniformed service by African Americans during that era. ; Whereas, in 2000, Congress approved S.J. Res. 26 to posthumously exonerate Captain Charles B. McVay III, captain of the USS Indianapolis, for his wrongful court martial, and President William Clinton signed that resolution on October 30, 2000; Whereas the language of that resolution was enacted as section 545 of the Floyd D. Spence National Defense Authorization Act for Fiscal Year 2001 ( Public Law 106–398 ), including language that Captain McVay’s military record  should now reflect that he is exonerated for the loss of the USS Indianapolis and so many of her crew ; and Whereas, on July 17, 2023, the Nation will mark the 79th anniversary of the Port Chicago disaster, and the unjust and racially motivated convictions remain on the records of the Port Chicago 50: Now, therefore, be it That Congress— (1) recognizes the service and sacrifice of those who served and perished at Port Chicago during World War II; (2) hereby and forever exonerates the Port Chicago sailors of the charge of mutiny against the United States and any and all other charges brought against them in the aftermath of the July 17, 1944, explosion; (3) upgrades the general and summary discharges issued to each of the Port Chicago sailors to honorable discharges; and (4) directs the Secretary of the Navy to place a letter attesting to these actions in the file of each of the Port Chicago sailors and to notify any surviving family members of these actions.","[{'bioguideId': 'D000623', 'firstName': 'Mark', 'fullName': 'Rep. DeSaulnier, Mark [D-CA-10]', 'isByRequest': 'N', 'lastName': 'DeSaulnier', 'middleName': None, 'party': 'D', 'state': 'CA'}]"
"118 HCON 17 RH: Expressing the sense of Congress that the Federal Government should not impose any restrictions on the export of crude oil or other petroleum products. 
 U.S. House of Representatives 
 2023-03-23 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV House Calendar No. 9 118th CONGRESS 1st Session H. CON. RES. 17 [Report No. 118–27] IN THE HOUSE OF REPRESENTATIVES February 17, 2023 Mr. Guthrie  submitted the following concurrent resolution; which was referred to the  Committee on Energy and Commerce March 23, 2023 Additional sponsors:  Mr. Duncan ,  Mr. Joyce of Pennsylvania ,  Mr. Balderson ,  Mr. Palmer ,  Mr. Pfluger ,  Mr. Bucshon ,  Mr. Curtis ,  Mr. Crenshaw , and  Mrs. Lesko March 23, 2023 Reported with an amendment, referred to the House Calendar, and ordered to be printed Strike all after the resolving clause and insert the part printed in italic For text of introduced resolution, see copy of resolution as introduced on February 17, 2023 CONCURRENT RESOLUTION Expressing the sense of Congress that the Federal Government should not impose any restrictions on the export of crude oil or other petroleum products. Whereas the United States has enjoyed a renaissance in energy production, with the expansion of domestic crude oil and other petroleum product production contributing to enhanced energy security and significant economic benefits to the national economy; Whereas, in 2015, Congress recognized the need to adapt to changing crude oil market conditions and repealed all restrictions on the export of crude oil on a bipartisan basis; Whereas section 101 of title I of division O of the Consolidated Appropriations Act, 2016 ( 42 U.S.C. 6212a ) established the national policy on oil export restriction, prohibiting any official of the Federal Government from imposing or enforcing any restrictions on the export of crude oil with limited exceptions, including a savings clause maintaining the authority to prohibit exports under any provision of law that imposes sanctions on a foreign person or foreign government (including any provision of law that prohibits or restricts United States persons from engaging in a transaction with a sanctioned person or government), including a foreign government that is designated as a state sponsor of terrorism;  Whereas lifting the restrictions on crude oil exports encouraged additional domestic energy production, created American jobs and economic development, and allowed the United States to emerge as the leading oil producer in the world; Whereas, in 2019, the United States became a net exporter of petroleum products for the first time since 1952, and the reliance of the United States on foreign imports of petroleum products has declined to historic lows; and Whereas free trade, open markets, and competition have contributed to the rise of the United States as a global energy superpower: Now, therefore, be it That it is the sense of Congress that the Federal Government should not impose— (1) overly restrictive regulations on the exploration, production, or marketing of energy resources; or (2) any restrictions on the export of crude oil or other petroleum products under the Energy Policy and Conservation Act ( 42 U.S.C. 6201 et seq. ), except with respect to the export of crude oil or other petroleum products to a foreign person or foreign government subject to sanctions under any provision of United States law, including to a country the government of which is designated as a state sponsor of terrorism. March 23, 2023 Reported with an amendment, referred to the House Calendar, and ordered to be printed","[{'bioguideId': 'G000558', 'firstName': 'Brett', 'fullName': 'Rep. Guthrie, Brett [R-KY-2]', 'isByRequest': 'N', 'lastName': 'Guthrie', 'middleName': None, 'party': 'R', 'state': 'KY'}]"
"118 HCON 18 IH: Establishing deadlines for the Joint Committee of Congress on the Library to approve or deny the statue of the Reverend William Franklin “Billy” Graham, Jr., for placement in the National Statuary Hall. 
 U.S. House of Representatives 
 2023-02-17 
 text/xml 
 EN 
 Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. 
 
 
 
 IV 118th CONGRESS 1st Session H. CON. RES. 18 IN THE HOUSE OF REPRESENTATIVES February 17, 2023 Mr. McHenry  (for himself,  Mr. Rouzer ,  Ms. Foxx ,  Mr. Edwards ,  Mr. Bishop of North Carolina ,  Mr. Hudson ,  Mr. Murphy , and  Mr. Davis of North Carolina ) submitted the following concurrent resolution; which was referred to the  Committee on House Administration CONCURRENT RESOLUTION Establishing deadlines for the Joint Committee of Congress on the Library to approve or deny the statue of the Reverend William Franklin  Billy  Graham, Jr., for placement in the National Statuary Hall. 1. Deadlines for approval or denial by Joint Committee of Congress on the Library The Joint Committee of Congress on the Library shall— (1) approve or deny the full-sized clay model and pedestal design of a statue of the Reverend William Franklin  Billy  Graham, Jr., not later than 30 days after the date on which the State of North Carolina submits to the Architect of the Capitol—  (A) photographs of the model from all 4 sides;  (B) the dimensions of the statue and pedestal;  (C) engineering drawings of the pedestal;  (D) the anticipated weight of the completed statue and pedestal; and  (E) the text of any proposed inscription; (2) approve or deny the completed statue of the Reverend William Franklin  Billy  Graham, Jr., not later than 30 days after the date on which the State of North Carolina submits to the Architect of the Capitol—  (A) photographs of the completed statue and pedestal from all 4 sides;  (B) the dimensions of the statue and pedestal;  (C) the final weight of the statue and pedestal; and  (D) the text of any inscription; and (3) if the Committee approves the statue of the Reverend William Franklin  Billy  Graham, Jr., under paragraph (2), not later than 30 days after the date of the approval, determine a permanent public location in the Capitol for the statue.","[{'bioguideId': 'M001156', 'firstName': 'Patrick', 'fullName': 'Rep. McHenry, Patrick T. [R-NC-10]', 'isByRequest': 'N', 'lastName': 'McHenry', 'middleName': None, 'party': 'R', 'state': 'NC'}]"
